Id;Source;Target;Type;weight;timeset
83.0;063a421d185f6d86048664dc0699dc90;320ce8da7eec725dd5fa0e354adf6352;undirected;105.0;<[2,2]>
84.0;062f7afc5063e965dbb035cbbfe4b1cf;71eb48b6c1359160dbe6f02ba6b61aa4;undirected;107.0;<[2,2]>
85.0;062f7afc5063e965dbb035cbbfe4b1cf;c53f2496949d7cc9a9a7c87efb2d6e77;undirected;107.0;<[2,2]>
86.0;062f7afc5063e965dbb035cbbfe4b1cf;dd67e228489bf9ad122d8f30af18cd81;undirected;107.0;<[2,2]>
87.0;063a421d185f6d86048664dc0699dc90;a662e112700c5e60b18da6a6d912d4bc;undirected;105.0;<[2,2]>
88.0;04c06cb84be4d9f833f28af04050d822;83309a6d3f6b5eac1775e54163f5e9d2;undirected;115.0;<[2,2]>
89.0;063a421d185f6d86048664dc0699dc90;6fa5eb0bef408909d4748f7c4b810f17;undirected;105.0;<[2,2]>
90.0;062f7afc5063e965dbb035cbbfe4b1cf;3ee98e7ec0b45a175d9371d2d25e1fae;undirected;107.0;<[2,2]>
91.0;03a56083d1d2e71e88695d136430a818;8fbf8e8bbe58ae008a7279c11819a85c;undirected;119.0;<[2,2]>
92.0;03a56083d1d2e71e88695d136430a818;b50f4210c64a804fad787ae6bbcd3e51;undirected;119.0;<[2,2]>
93.0;04c06cb84be4d9f833f28af04050d822;8f9e96337d3041b7070e9b3f1764bfae;undirected;115.0;<[2,2]>
94.0;063a421d185f6d86048664dc0699dc90;b0e7401c4101a067a1706ac39f61dd76;undirected;105.0;<[2,2]>
95.0;062f7afc5063e965dbb035cbbfe4b1cf;5d7e91ce6dac7e971c47558210a338af;undirected;107.0;<[2,2]>
96.0;03a56083d1d2e71e88695d136430a818;6c4f08d3cb49d5425a9267662182d773;undirected;119.0;<[2,2]>
97.0;063a421d185f6d86048664dc0699dc90;97a98b6626b413bcb18e8fef51a2e24b;undirected;105.0;<[2,2]>
98.0;03a56083d1d2e71e88695d136430a818;04c06cb84be4d9f833f28af04050d822;undirected;115.0;<[2,2]>
99.0;063a421d185f6d86048664dc0699dc90;0fe4c7febbc071ed411e84f4d73130c3;undirected;109.0;<[2,2]>
100.0;062f7afc5063e965dbb035cbbfe4b1cf;eb9587670d383ea7ea20768b5317abd4;undirected;107.0;<[2,2]>
101.0;062f7afc5063e965dbb035cbbfe4b1cf;a88aa74076b1c62c804f07bc04dc90e8;undirected;107.0;<[2,2]>
102.0;063a421d185f6d86048664dc0699dc90;095819cd9b86b3bdc07748a58a0f1578;undirected;105.0;<[2,2]>
103.0;063a421d185f6d86048664dc0699dc90;80b07e514dd2ad737d37c195f3693d48;undirected;105.0;<[2,2]>
104.0;04c06cb84be4d9f833f28af04050d822;a2387f7fb6a5a86fc70c89185524b515;undirected;115.0;<[2,2]>
105.0;063a421d185f6d86048664dc0699dc90;0a06596d8ba8c70c0b2a1d0c1ed68488;undirected;105.0;<[2,2]>
106.0;03a56083d1d2e71e88695d136430a818;4d69d0a30d20a756c99e500d162a8cd5;undirected;119.0;<[2,2]>
107.0;03a56083d1d2e71e88695d136430a818;681a66a7e90b125b3357113a00e152b2;undirected;119.0;<[2,2]>
108.0;03a56083d1d2e71e88695d136430a818;dea5b3bc39e73a667c9aa33a623d3a91;undirected;119.0;<[2,2]>
109.0;063a421d185f6d86048664dc0699dc90;5ddb43136c7e7864bcd011fb90d8555b;undirected;105.0;<[2,2]>
110.0;063a421d185f6d86048664dc0699dc90;bdbbd7c5e6b16d6d3616fe548f001489;undirected;105.0;<[2,2]>
111.0;03a56083d1d2e71e88695d136430a818;f05653df6c9eece44d55113e04ac2d4f;undirected;119.0;<[2,2]>
112.0;03a56083d1d2e71e88695d136430a818;c9e275bf318b6e1524ad0ac4be89c8f1;undirected;119.0;<[2,2]>
113.0;063a421d185f6d86048664dc0699dc90;5ab04fa114c5d20b215fdb0480f5d280;undirected;105.0;<[2,2]>
114.0;062f7afc5063e965dbb035cbbfe4b1cf;b437c461cb38ccfc7d52fd9323f8decb;undirected;107.0;<[2,2]>
115.0;03a56083d1d2e71e88695d136430a818;41e1098661af019d844ad29a66dac553;undirected;119.0;<[2,2]>
116.0;063a421d185f6d86048664dc0699dc90;1fa62d8f1d5707cd0fc6703fa3cce7ba;undirected;105.0;<[2,2]>
117.0;03a56083d1d2e71e88695d136430a818;ed78ca29fdac168b418938f9caa03837;undirected;119.0;<[2,2]>
118.0;03a56083d1d2e71e88695d136430a818;4b743ee212b9ff23502c13729044d2a1;undirected;119.0;<[2,2]>
119.0;063a421d185f6d86048664dc0699dc90;d3aecb17cefb96031d05a687a371dcfa;undirected;105.0;<[2,2]>
120.0;04c06cb84be4d9f833f28af04050d822;974404415afa9e36a2a43b6beec20746;undirected;115.0;<[2,2]>
121.0;063a421d185f6d86048664dc0699dc90;390b1c7ec2268a742569c3a3dd62b5b6;undirected;105.0;<[2,2]>
122.0;03a56083d1d2e71e88695d136430a818;2557aa719974bf6aece2b430ef07fc23;undirected;119.0;<[2,2]>
123.0;03a56083d1d2e71e88695d136430a818;9e6c1b0d7f2026bdb0d278cb5b42eb11;undirected;119.0;<[2,2]>
124.0;03a56083d1d2e71e88695d136430a818;e3150e48c327801f954bc0f6ce88937b;undirected;119.0;<[2,2]>
125.0;062f7afc5063e965dbb035cbbfe4b1cf;063a421d185f6d86048664dc0699dc90;undirected;109.0;<[2,2]>
